Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,6.820000,6.860000,6.660000,6.680000,6.680000,4555400
2022-01-04,6.690000,6.770000,6.640000,6.670000,6.670000,6820500
2022-01-05,6.680000,6.930000,6.620000,6.620000,6.620000,7966300
2022-01-06,6.680000,6.710000,6.530000,6.600000,6.600000,4390400
2022-01-07,6.590000,6.620000,6.460000,6.550000,6.550000,4232800
2022-01-10,6.500000,6.510000,6.290000,6.370000,6.370000,8168600
2022-01-11,6.420000,6.490000,6.330000,6.480000,6.480000,5809900
2022-01-12,6.490000,6.770000,6.470000,6.770000,6.770000,9157600
2022-01-13,6.800000,6.820000,6.700000,6.730000,6.730000,7583700
2022-01-14,6.710000,6.830000,6.650000,6.820000,6.820000,7751000
2022-01-18,6.760000,6.780000,6.670000,6.700000,6.700000,6333900
2022-01-19,6.740000,6.810000,6.570000,6.580000,6.580000,5335400
2022-01-20,6.600000,6.630000,6.280000,6.290000,6.290000,7298200
2022-01-21,6.240000,6.320000,5.840000,5.850000,5.850000,18442200
2022-01-24,5.700000,5.750000,5.280000,5.730000,5.730000,20994600
2022-01-25,5.640000,5.990000,5.580000,5.960000,5.960000,17421000
2022-01-26,6.040000,6.210000,5.970000,5.980000,5.980000,14322100
2022-01-27,6.050000,6.220000,5.880000,5.950000,5.950000,8905600
2022-01-28,5.870000,6.120000,5.870000,6.100000,6.100000,11642700
2022-01-31,6.060000,6.130000,6.010000,6.120000,6.120000,5158900
2022-02-01,6.130000,6.290000,6.130000,6.220000,6.220000,4802500
2022-02-02,6.220000,6.330000,6.190000,6.260000,6.260000,6547400
2022-02-03,6.160000,6.250000,6.030000,6.050000,6.050000,6458800
2022-02-04,6.030000,6.030000,5.930000,5.980000,5.980000,5101300
2022-02-07,6.020000,6.020000,5.850000,5.860000,5.860000,10020700
2022-02-08,5.910000,5.930000,5.800000,5.880000,5.880000,12834000
2022-02-09,5.900000,6.080000,5.870000,6.080000,6.080000,11488000
2022-02-10,6.010000,6.050000,5.560000,5.590000,5.590000,15460900
2022-02-11,5.570000,5.730000,5.510000,5.600000,5.600000,13776700
2022-02-14,5.590000,5.620000,5.370000,5.410000,5.410000,8606900
2022-02-15,5.480000,5.740000,5.460000,5.690000,5.690000,8408200
2022-02-16,5.680000,5.780000,5.600000,5.710000,5.710000,7002200
2022-02-17,5.600000,5.720000,5.580000,5.630000,5.630000,6393100
2022-02-18,5.610000,5.730000,5.580000,5.580000,5.580000,4146200
2022-02-22,5.500000,5.680000,5.420000,5.490000,5.490000,7109400
2022-02-23,5.400000,5.510000,5.080000,5.130000,5.130000,15089600
2022-02-24,4.960000,5.070000,4.850000,5.040000,5.040000,13968500
2022-02-25,5.070000,5.240000,5.060000,5.140000,5.140000,8486600
2022-02-28,5.060000,5.130000,4.970000,5.100000,5.100000,8837000
2022-03-01,5.050000,5.150000,4.980000,4.980000,4.980000,9968700
2022-03-02,5.100000,5.100000,4.900000,5.090000,5.090000,11015900
2022-03-03,5.180000,5.180000,5.010000,5.100000,5.100000,7573400
2022-03-04,5.000000,5.030000,4.660000,4.740000,4.740000,28419200
2022-03-07,4.710000,4.740000,4.350000,4.430000,4.430000,18133300
2022-03-08,4.480000,4.810000,4.430000,4.760000,4.760000,20416700
2022-03-09,4.910000,4.990000,4.770000,4.960000,4.960000,14616800
2022-03-10,4.870000,4.910000,4.720000,4.730000,4.730000,7619900
2022-03-11,4.830000,4.890000,4.720000,4.780000,4.780000,6730300
2022-03-14,4.850000,4.870000,4.630000,4.720000,4.720000,6673600
2022-03-15,4.710000,4.930000,4.630000,4.920000,4.920000,7047000
2022-03-16,4.980000,5.110000,4.950000,5.090000,5.090000,10198800
2022-03-17,5.100000,5.200000,5.040000,5.180000,5.180000,4509200
2022-03-18,5.150000,5.290000,5.070000,5.270000,5.270000,5423600
2022-03-21,5.360000,5.360000,5.150000,5.200000,5.200000,3625300
2022-03-22,5.260000,5.330000,5.220000,5.260000,5.260000,6505700
2022-03-23,5.210000,5.300000,5.130000,5.200000,5.200000,5092600
2022-03-24,5.240000,5.330000,5.190000,5.270000,5.270000,5927700
2022-03-25,5.220000,5.340000,5.210000,5.330000,5.330000,4785400
2022-03-28,5.260000,5.280000,5.170000,5.210000,5.210000,6793800
2022-03-29,5.270000,5.500000,5.250000,5.440000,5.440000,7397200
2022-03-30,5.370000,5.450000,5.240000,5.320000,5.320000,13674100
2022-03-31,5.280000,5.390000,5.270000,5.290000,5.290000,13201800
2022-04-01,5.370000,5.410000,5.180000,5.290000,5.290000,6813800
2022-04-04,5.450000,5.490000,5.270000,5.270000,5.270000,5536600
2022-04-05,5.180000,5.270000,5.040000,5.070000,5.070000,7432300
2022-04-06,5.000000,5.030000,4.820000,4.850000,4.850000,9280000
2022-04-07,4.870000,4.890000,4.740000,4.750000,4.750000,6468400
2022-04-08,4.750000,4.750000,4.530000,4.530000,4.530000,14359300
2022-04-11,4.480000,4.610000,4.460000,4.520000,4.520000,11939900
2022-04-12,4.610000,4.720000,4.520000,4.540000,4.540000,7119200
2022-04-13,4.630000,4.770000,4.580000,4.740000,4.740000,6056200
2022-04-14,4.720000,4.770000,4.610000,4.630000,4.630000,3943000
2022-04-18,4.620000,4.720000,4.580000,4.600000,4.600000,6168800
2022-04-19,4.600000,4.820000,4.590000,4.770000,4.770000,9753700
2022-04-20,4.890000,5.000000,4.820000,4.890000,4.890000,8505400
2022-04-21,4.910000,4.940000,4.580000,4.580000,4.580000,7683500
2022-04-22,4.600000,4.600000,4.370000,4.400000,4.400000,6660900
2022-04-25,4.380000,4.400000,4.220000,4.400000,4.400000,7862400
2022-04-26,4.340000,4.380000,4.140000,4.140000,4.140000,4790300
2022-04-27,4.200000,4.310000,4.150000,4.290000,4.290000,9594700
2022-04-28,4.550000,4.620000,4.270000,4.540000,4.540000,10950500
2022-04-29,4.480000,4.670000,4.360000,4.400000,4.400000,6570900
2022-05-02,4.380000,4.410000,4.250000,4.360000,4.360000,4750300
2022-05-03,4.400000,4.510000,4.370000,4.470000,4.470000,6169400
2022-05-04,4.460000,4.600000,4.360000,4.580000,4.580000,5419600
2022-05-05,4.460000,4.510000,4.160000,4.270000,4.270000,10761700
2022-05-06,4.270000,4.380000,4.130000,4.190000,4.190000,5564700
2022-05-09,4.140000,4.180000,3.960000,3.990000,3.990000,5370300
2022-05-10,4.070000,4.120000,3.900000,4.020000,4.020000,7042300
2022-05-11,4.030000,4.120000,3.950000,3.960000,3.960000,4483100
2022-05-12,3.900000,4.110000,3.820000,4.000000,4.000000,8446400
2022-05-13,4.060000,4.170000,4.060000,4.120000,4.120000,4538000
2022-05-16,4.080000,4.370000,4.070000,4.370000,4.370000,8241800
2022-05-17,4.440000,4.530000,4.370000,4.490000,4.490000,5021000
2022-05-18,4.390000,4.470000,4.270000,4.300000,4.300000,3386500
2022-05-19,4.260000,4.460000,4.230000,4.400000,4.400000,4715000
2022-05-20,4.700000,4.700000,4.320000,4.410000,4.410000,5503600
2022-05-23,4.430000,4.480000,4.320000,4.360000,4.360000,8043100
2022-05-24,4.310000,4.340000,4.130000,4.210000,4.210000,6726500
2022-05-25,4.150000,4.320000,4.150000,4.310000,4.310000,5432000
2022-05-26,4.340000,4.470000,4.320000,4.410000,4.410000,5672700
2022-05-27,4.440000,4.600000,4.440000,4.570000,4.570000,4966400
2022-05-31,4.620000,4.710000,4.430000,4.670000,4.670000,18901100
2022-06-01,4.640000,4.700000,4.410000,4.460000,4.460000,8271700
2022-06-02,4.450000,4.490000,4.370000,4.390000,4.390000,8551900
2022-06-03,4.350000,4.390000,4.280000,4.360000,4.360000,5728400
2022-06-06,4.400000,4.470000,4.360000,4.390000,4.390000,2080100
2022-06-07,4.310000,4.370000,4.260000,4.350000,4.350000,2263900
2022-06-08,4.300000,4.310000,4.210000,4.270000,4.270000,5058800
2022-06-09,4.260000,4.260000,4.100000,4.100000,4.100000,9069400
2022-06-10,4.010000,4.050000,3.850000,3.850000,3.850000,9242600
2022-06-13,3.770000,3.770000,3.580000,3.630000,3.630000,13924600
2022-06-14,3.670000,3.700000,3.570000,3.570000,3.570000,6661500
2022-06-15,3.600000,3.640000,3.450000,3.550000,3.550000,14841900
2022-06-16,3.460000,3.510000,3.300000,3.320000,3.320000,16317900
2022-06-17,3.330000,3.540000,3.220000,3.460000,3.460000,25749900
2022-06-21,3.580000,3.650000,3.500000,3.630000,3.630000,10138000
2022-06-22,3.570000,3.630000,3.510000,3.620000,3.620000,9785300
2022-06-23,3.640000,3.780000,3.590000,3.730000,3.730000,8998800
2022-06-24,3.800000,3.970000,3.710000,3.890000,3.890000,11145000
2022-06-27,3.880000,3.920000,3.790000,3.920000,3.920000,6785100
2022-06-28,3.940000,4.030000,3.850000,3.910000,3.910000,8912300
2022-06-29,3.870000,3.940000,3.770000,3.870000,3.870000,8882600
2022-06-30,3.770000,3.930000,3.690000,3.920000,3.920000,10416800
2022-07-01,3.880000,3.900000,3.750000,3.860000,3.860000,4184600
2022-07-05,3.740000,3.940000,3.670000,3.940000,3.940000,5718900
2022-07-06,3.870000,3.950000,3.830000,3.880000,3.880000,3946800
2022-07-07,3.940000,4.000000,3.910000,3.930000,3.930000,2607400
2022-07-08,3.930000,3.930000,3.810000,3.900000,3.900000,3012400
2022-07-11,3.850000,3.860000,3.740000,3.770000,3.770000,2402200
