Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,156.940002,157.490005,156.270004,157.369995,150.614655,818700
2022-01-04,158.130005,159.410004,158.110001,158.940002,152.117310,923900
2022-01-05,159.259995,160.380005,157.839996,157.899994,151.121918,990300
2022-01-06,158.449997,158.809998,157.610001,157.990005,151.208038,1796100
2022-01-07,157.960007,158.869995,157.740005,158.410004,151.610046,2544100
2022-01-10,158.250000,158.320007,156.190002,157.820007,151.045380,1355000
2022-01-11,157.960007,158.970001,156.740005,158.929993,152.107712,726500
2022-01-12,159.199997,159.479996,158.419998,159.059998,152.232132,775200
2022-01-13,159.339996,160.089996,158.330002,158.770004,151.954605,712600
2022-01-14,157.699997,158.630005,157.039993,158.539993,151.734421,713800
2022-01-18,157.570007,157.729996,156.009995,156.539993,149.820282,1160400
2022-01-19,156.869995,157.220001,155.139999,155.199997,148.537827,1001500
2022-01-20,155.350006,157.139999,153.679993,153.839996,147.236206,877800
2022-01-21,153.619995,154.289993,151.529999,151.770004,145.255081,1732800
2022-01-24,150.100006,152.270004,147.089996,152.080002,145.551758,2314700
2022-01-25,150.279999,152.630005,148.119995,151.479996,144.977509,3267900
2022-01-26,152.440002,153.589996,149.190002,150.559998,144.097015,2059500
2022-01-27,151.669998,153.190002,149.479996,150.199997,143.752441,1543500
2022-01-28,149.979996,152.550003,148.690002,152.490005,145.944168,1108900
2022-01-31,151.740005,154.149994,151.419998,154.029999,147.418015,1122400
2022-02-01,154.059998,155.350006,153.529999,155.080002,148.422974,3512400
2022-02-02,154.880005,156.410004,154.600006,156.130005,149.427902,1051600
2022-02-03,155.660004,155.940002,154.470001,154.639999,148.001877,4219000
2022-02-04,153.990005,155.369995,152.940002,154.250000,147.628632,793000
2022-02-07,154.460007,155.419998,153.910004,154.440002,147.810455,855400
2022-02-08,154.779999,155.759995,154.160004,155.470001,148.796249,738500
2022-02-09,156.630005,157.410004,156.470001,157.210007,150.461533,721700
2022-02-10,155.910004,157.639999,154.460007,155.080002,148.422974,1118800
2022-02-11,155.220001,156.119995,153.009995,153.490005,146.901230,1117500
2022-02-14,153.470001,153.720001,151.500000,152.479996,145.934570,736900
2022-02-15,153.550003,154.460007,153.429993,154.100006,147.485046,842800
2022-02-16,153.610001,154.940002,153.309998,154.449997,147.820023,624000
2022-02-17,153.460007,153.600006,152.039993,152.300003,145.762314,470100
2022-02-18,152.190002,153.000000,151.100006,151.699997,145.188080,941500
2022-02-22,151.639999,152.039993,149.460007,150.520004,144.058746,1272500
2022-02-23,151.320007,151.429993,148.419998,148.649994,142.268951,1050900
2022-02-24,145.839996,148.830002,145.029999,148.690002,142.307281,2660200
2022-02-25,149.259995,152.970001,149.259995,152.679993,146.125992,1141300
2022-02-28,150.559998,152.270004,150.000000,151.839996,145.322052,1013700
2022-03-01,151.460007,152.020004,148.649994,149.520004,143.101654,1596600
2022-03-02,150.380005,153.059998,150.360001,152.369995,145.829300,1500700
2022-03-03,152.789993,153.570007,151.550003,152.580002,146.030304,2484900
2022-03-04,150.850006,152.149994,150.289993,152.089996,145.561325,1825400
2022-03-07,151.509995,151.660004,148.690002,148.750000,142.364716,2433300
2022-03-08,149.199997,150.759995,147.399994,147.460007,141.130096,1405100
2022-03-09,149.750000,150.649994,149.309998,149.750000,143.321762,1072700
2022-03-10,148.289993,149.789993,147.990005,149.570007,143.149521,1503900
2022-03-11,150.199997,150.850006,148.279999,148.410004,142.039291,2481600
2022-03-14,149.130005,150.149994,147.750000,148.380005,142.010574,661100
2022-03-15,148.889999,150.559998,148.639999,150.330002,143.876877,913700
2022-03-16,151.419998,152.449997,149.660004,152.380005,145.838882,1679800
2022-03-17,151.889999,154.169998,151.860001,154.130005,147.513763,893600
2022-03-18,153.729996,154.789993,153.050003,154.649994,148.011429,1094100
2022-03-21,154.860001,155.660004,154.080002,154.940002,148.289001,914800
2022-03-22,155.600006,156.160004,155.380005,155.839996,149.150345,1121700
2022-03-23,155.440002,155.630005,154.160004,154.179993,147.561584,669300
2022-03-24,154.100006,155.139999,153.720001,155.139999,149.164398,841300
2022-03-25,155.460007,156.600006,155.339996,156.559998,150.529724,3539300
2022-03-28,156.240005,156.630005,155.199997,156.619995,150.587402,1465000
2022-03-29,157.690002,158.190002,156.839996,158.119995,152.029617,908200
2022-03-30,157.929993,158.440002,157.080002,157.850006,151.770035,974400
2022-03-31,157.419998,157.929993,155.630005,155.720001,149.722076,854600
2022-04-01,156.199997,156.470001,155.080002,156.380005,150.356644,1280600
2022-04-04,156.300003,156.330002,155.100006,156.190002,150.173965,681500
2022-04-05,155.729996,157.240005,154.860001,155.210007,149.231689,3373100
2022-04-06,154.509995,155.770004,154.169998,155.440002,149.452850,1020200
2022-04-07,155.250000,156.570007,154.330002,156.080002,150.068207,915500
2022-04-08,156.190002,157.479996,155.919998,156.880005,150.837387,693900
2022-04-11,156.399994,156.889999,155.270004,155.470001,149.481689,651900
2022-04-12,155.929993,156.910004,154.630005,155.119995,149.145157,807700
2022-04-13,155.029999,156.419998,154.960007,156.229996,150.212402,586700
2022-04-14,156.320007,157.050003,155.600006,155.639999,149.645157,437300
2022-04-18,155.320007,156.360001,154.770004,155.399994,149.414383,424500
2022-04-19,155.479996,157.699997,155.479996,157.419998,151.356598,608400
2022-04-20,158.130005,159.220001,158.039993,158.520004,152.414215,596700
2022-04-21,159.479996,159.800003,156.550003,156.820007,150.779694,701700
2022-04-22,156.160004,156.259995,152.570007,152.740005,146.856842,773200
2022-04-25,151.910004,153.149994,149.559998,152.869995,146.981842,2907500
2022-04-26,152.020004,152.690002,149.809998,149.850006,144.078171,1166400
2022-04-27,150.199997,151.720001,149.419998,150.229996,144.443542,1052300
2022-04-28,151.130005,153.059998,149.759995,152.550003,146.674179,1059400
2022-04-29,151.729996,152.020004,147.699997,147.979996,142.280182,964200
2022-05-02,148.179993,149.059998,145.240005,147.949997,142.251358,6105200
2022-05-03,148.240005,149.880005,147.770004,148.850006,143.116684,1181700
2022-05-04,149.119995,153.070007,148.649994,152.830002,146.943405,3034500
2022-05-05,151.809998,152.039993,147.919998,149.279999,143.530121,1103300
2022-05-06,148.520004,149.279999,146.800003,148.779999,143.049377,1042000
2022-05-09,146.949997,147.330002,144.529999,145.070007,139.482285,1629800
2022-05-10,146.639999,147.020004,143.149994,144.500000,138.934219,1205100
2022-05-11,144.750000,147.050003,143.589996,143.729996,138.193878,1706500
2022-05-12,143.139999,144.350006,141.649994,143.940002,138.395813,2612100
2022-05-13,145.139999,146.600006,144.820007,146.179993,140.549500,1354200
