Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,359.790009,372.320007,359.250000,370.950012,365.975983,4708200
2022-01-04,371.989990,382.399994,371.649994,375.390015,370.356415,6854500
2022-01-05,374.000000,382.500000,372.510010,373.899994,368.886414,5976600
2022-01-06,368.690002,374.220001,366.500000,370.000000,365.517700,4781100
2022-01-07,366.390015,371.790009,364.109985,369.649994,365.171906,4551200
2022-01-10,370.910004,370.910004,348.769989,363.910004,359.501434,6009300
2022-01-11,363.529999,368.059998,356.089996,366.290009,361.852661,4131200
2022-01-12,368.940002,372.119995,367.070007,367.309998,362.860260,5783100
2022-01-13,368.609985,377.679993,367.880005,369.519989,365.043488,3892900
2022-01-14,364.320007,374.779999,364.149994,372.140015,367.631775,4029900
2022-01-18,370.790009,372.140015,365.200012,366.299988,361.862457,4933900
2022-01-19,362.410004,369.299988,359.709991,360.730011,356.360016,4464800
2022-01-20,361.829987,373.070007,361.670013,364.000000,359.590302,5043200
2022-01-21,362.500000,368.130005,354.109985,355.079987,350.778412,4867100
2022-01-24,342.570007,350.100006,330.589996,349.420013,345.187042,7472800
2022-01-25,343.320007,347.040009,333.390015,338.760010,334.656128,6994400
2022-01-26,343.359985,354.769989,341.250000,344.660004,340.484711,7438600
2022-01-27,349.079987,359.630005,334.329987,350.529999,346.283569,8416100
2022-01-28,359.049988,382.769989,355.380005,382.510010,377.876129,8813400
2022-01-31,378.679993,386.549988,376.290009,386.380005,381.699280,6345200
2022-02-01,385.760010,395.500000,382.420013,392.059998,387.310394,5841100
2022-02-02,389.290009,399.920013,382.750000,396.750000,391.943665,6115000
2022-02-03,388.540009,392.940002,386.489990,390.070007,385.344604,4209200
2022-02-04,387.570007,388.149994,376.410004,382.200012,377.569946,6045400
2022-02-07,382.200012,382.399994,373.309998,376.130005,371.573456,4767500
2022-02-08,377.540009,379.769989,370.540009,374.369995,369.834747,5825300
2022-02-09,385.600006,388.450012,380.600006,381.369995,376.749908,5492800
2022-02-10,371.720001,380.000000,370.559998,374.390015,369.854523,3995000
2022-02-11,377.859985,380.899994,367.640015,369.769989,365.290466,4345600
2022-02-14,368.820007,377.290009,366.760010,374.160004,369.627289,3678400
2022-02-15,374.579987,383.070007,373.399994,381.540009,376.917877,5800400
2022-02-16,379.959991,385.000000,376.779999,382.929993,378.291046,3424800
2022-02-17,378.600006,381.290009,372.170013,373.700012,369.172882,3972500
2022-02-18,374.510010,374.809998,369.000000,369.950012,365.468292,4083800
2022-02-22,365.000000,374.320007,363.799988,368.290009,363.828461,3897900
2022-02-23,371.970001,373.559998,360.130005,361.230011,356.853943,3802500
2022-02-24,345.940002,370.540009,341.309998,369.380005,364.905212,7425000
2022-02-25,367.220001,372.589996,361.700012,369.089996,364.618713,3817900
2022-02-28,362.190002,365.359985,355.660004,360.820007,356.448883,4952400
2022-03-01,357.850006,361.579987,341.220001,344.480011,340.306854,5894200
