Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,42.480000,44.404999,41.889999,43.950001,43.950001,26089000
2022-01-04,44.230000,44.799999,42.580002,44.419998,44.419998,30845300
2022-01-05,44.290001,45.900002,42.860001,43.240002,43.240002,28498700
2022-01-06,43.110001,44.080002,40.970001,42.029999,42.029999,32434300
2022-01-07,42.000000,42.650002,41.200001,41.509998,41.509998,24875800
2022-01-10,41.480000,42.810001,40.160000,42.599998,42.599998,29783800
2022-01-11,42.360001,44.169998,42.189999,43.619999,43.619999,22161000
2022-01-12,43.990002,44.099998,42.535000,43.040001,43.040001,18993900
2022-01-13,43.340000,43.919998,42.724998,42.869999,42.869999,17190100
2022-01-14,42.400002,42.720001,40.355000,41.509998,41.509998,25817800
2022-01-18,40.959999,40.959999,38.369999,38.410000,38.410000,36873700
2022-01-19,38.209999,38.889999,37.115002,37.860001,37.860001,35552500
2022-01-20,38.290001,39.639999,37.750000,37.820000,37.820000,21720100
2022-01-21,37.410000,37.599998,35.845001,35.939999,35.939999,41836800
2022-01-24,34.910000,36.419998,33.509998,36.279999,36.279999,49261600
2022-01-25,35.470001,36.090000,34.514999,34.820000,34.820000,29577000
2022-01-26,36.070000,36.680000,34.450001,34.799999,34.799999,29495900
2022-01-27,35.369999,35.790001,33.939999,34.090000,34.090000,26086700
2022-01-28,34.169998,35.220001,32.810001,35.209999,35.209999,28007100
2022-01-31,35.340000,37.540001,35.299999,37.400002,37.400002,22899300
2022-02-01,37.630001,38.705002,37.200001,38.610001,38.610001,19669900
2022-02-02,38.529999,38.619999,37.029999,37.169998,37.169998,19591100
2022-02-03,36.080002,36.740002,34.299999,34.540001,34.540001,32192100
2022-02-04,35.000000,37.355000,34.360001,37.049999,37.049999,33082100
2022-02-07,36.985001,39.049999,36.985001,37.540001,37.540001,30303200
2022-02-08,37.250000,38.570000,36.950001,38.340000,38.340000,25857600
2022-02-09,38.810001,40.400002,38.160000,40.189999,40.189999,52614100
2022-02-10,41.000000,42.560001,37.349998,37.750000,37.750000,113915000
2022-02-11,37.959999,38.650002,34.480000,35.290001,35.290001,72568400
2022-02-14,35.200001,35.990002,34.320000,34.590000,34.590000,44556700
2022-02-15,35.439999,37.209999,35.110001,37.090000,37.090000,38183500
2022-02-16,36.630001,37.389999,36.270000,36.580002,36.580002,33165900
2022-02-17,36.130001,37.430000,35.410000,35.709999,35.709999,28432100
2022-02-18,35.520000,36.325001,34.669998,34.680000,34.680000,28199900
2022-02-22,34.209999,35.099998,33.279999,33.680000,33.680000,28731300
2022-02-23,33.889999,34.209999,32.299999,32.389999,32.389999,27254800
2022-02-24,29.969999,34.950001,29.709999,34.869999,34.869999,42978100
2022-02-25,34.840000,35.271999,34.009998,34.980000,34.980000,23691500
2022-02-28,35.259998,36.310001,34.985001,36.029999,36.029999,44865200
2022-03-01,35.450001,35.599998,33.650002,33.889999,33.889999,31436200
2022-03-02,34.000000,34.220001,32.970001,34.040001,34.040001,26112500
2022-03-03,34.220001,34.291000,31.415001,31.719999,31.719999,38337600
2022-03-04,31.500000,31.730000,29.270000,29.830000,29.830000,52098700
2022-03-07,31.480000,31.938000,28.549999,28.570000,28.570000,60265800
2022-03-08,28.510000,31.570000,28.278000,30.740000,30.740000,55014700
2022-03-09,31.750000,32.730000,31.200001,31.500000,31.500000,33734500
2022-03-10,30.860001,31.145000,29.840000,30.410000,30.410000,30785900
2022-03-11,31.299999,31.389999,30.420000,30.760000,30.760000,29454700
2022-03-14,30.510000,30.549999,28.799999,29.270000,29.270000,41897400
2022-03-15,29.520000,30.410000,29.059999,29.799999,29.799999,33060500
2022-03-16,30.530001,32.634998,30.270000,32.610001,32.610001,34688800
2022-03-17,32.340000,32.919998,31.570000,32.849998,32.849998,27278600
2022-03-18,32.520000,33.419998,32.330002,33.360001,33.360001,35827800
2022-03-21,32.820000,32.820000,31.250000,31.980000,31.980000,35200600
2022-03-22,31.930000,33.599998,31.840000,33.349998,33.349998,21852800
2022-03-23,32.709999,33.680000,32.570000,33.060001,33.060001,19024700
2022-03-24,34.740002,34.950001,33.439999,34.700001,34.700001,52533600
2022-03-25,34.549999,34.919998,33.549999,34.060001,34.060001,28078800
2022-03-28,34.139999,34.910000,33.730000,34.770000,34.770000,22175200
2022-03-29,35.570000,37.450001,35.570000,37.189999,37.189999,37969000
2022-03-30,36.660000,37.089001,36.205002,36.580002,36.580002,22306500
2022-03-31,36.500000,36.730000,35.369999,35.680000,35.680000,20608700
2022-04-01,35.680000,36.480000,35.400002,35.980000,35.980000,16793300
2022-04-04,36.400002,36.930000,36.215000,36.509998,36.509998,20217800
2022-04-05,36.349998,36.610001,34.720001,34.959999,34.959999,20984200
2022-04-06,33.855000,34.000000,32.549999,33.410000,33.410000,28854800
2022-04-07,33.340000,33.340000,31.020000,32.270000,32.270000,34581000
2022-04-08,31.920000,32.550999,31.580000,32.049999,32.049999,17991000
2022-04-11,31.360001,32.689999,31.110001,32.040001,32.040001,19680300
2022-04-12,32.400002,33.095001,31.709999,31.990000,31.990000,32619800
2022-04-13,32.000000,33.110001,31.930000,32.630001,32.630001,20186400
2022-04-14,32.860001,33.465000,32.639999,32.680000,32.680000,18763000
2022-04-18,32.549999,32.605000,31.420000,31.790001,31.790001,24413800
2022-04-19,32.160000,33.990002,31.969999,33.799999,33.799999,23319600
2022-04-20,33.990002,34.320000,33.180000,33.209999,33.209999,21330500
2022-04-21,34.250000,34.410000,31.370001,31.680000,31.680000,32937100
