Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,208.289993,210.330002,207.100006,210.309998,206.254883,7232700
2022-01-04,210.660004,211.809998,207.889999,209.029999,204.999588,6584600
2022-01-05,208.750000,209.389999,203.289993,203.389999,199.468323,8637800
2022-01-06,203.110001,204.289993,199.660004,202.860001,198.948517,8622500
2022-01-07,203.160004,203.679993,198.830002,199.479996,195.633682,7502600
2022-01-10,196.860001,198.360001,192.580002,198.259995,194.437225,10635700
2022-01-11,197.970001,200.570007,196.449997,200.169998,196.310394,8443700
2022-01-12,201.580002,202.520004,199.770004,201.490005,197.604965,6578400
2022-01-13,202.149994,203.130005,196.960007,197.440002,193.633041,8246900
2022-01-14,195.869995,197.429993,193.690002,196.520004,192.730774,10357600
2022-01-18,193.740005,194.669998,192.089996,192.800003,189.082520,9093300
2022-01-19,193.639999,194.270004,189.169998,189.320007,185.669617,8702200
2022-01-20,190.479996,192.860001,185.539993,185.869995,182.286133,9046900
2022-01-21,185.250000,186.029999,180.339996,180.419998,176.941193,18697200
2022-01-24,176.679993,182.770004,172.050003,182.589996,179.069382,26616900
2022-01-25,179.479996,182.259995,176.979996,179.500000,176.038956,17945100
2022-01-26,183.289993,184.929993,176.339996,178.630005,175.185730,21692000
2022-01-27,180.289993,180.589996,173.919998,174.300003,170.939194,16861500
2022-01-28,174.910004,178.100006,171.479996,178.100006,174.665939,15842900
2022-01-31,179.000000,185.089996,178.300003,184.949997,181.383865,11097400
2022-02-01,185.309998,186.410004,182.350006,186.070007,182.482269,11183000
2022-02-02,187.289993,187.529999,183.199997,184.960007,181.393661,9647100
2022-02-03,180.649994,183.509995,178.919998,179.300003,175.842834,9583300
2022-02-04,183.270004,186.600006,180.669998,184.399994,180.844437,10010800
2022-02-07,185.039993,187.089996,183.339996,184.020004,180.471802,9382300
2022-02-08,183.479996,187.009995,182.529999,186.610001,183.011871,9159100
2022-02-09,188.949997,190.169998,188.300003,189.080002,185.434235,8459400
2022-02-10,185.740005,189.470001,184.630005,185.820007,182.237091,12973200
2022-02-11,186.009995,186.699997,179.669998,180.479996,177.000031,12659600
2022-02-14,180.250000,183.880005,179.789993,181.509995,178.010178,15427400
2022-02-15,184.380005,185.740005,184.000000,185.570007,181.991898,10361200
2022-02-16,184.449997,186.619995,183.619995,186.100006,182.511688,8698800
2022-02-17,184.910004,185.789993,180.860001,181.119995,177.627716,9068200
2022-02-18,181.600006,182.179993,178.210007,180.000000,176.529327,9495200
2022-02-22,177.479996,179.220001,172.649994,174.750000,171.380554,13672800
2022-02-23,176.119995,176.580002,168.600006,168.910004,165.653137,13567200
2022-02-24,161.970001,173.039993,161.490005,172.770004,169.438705,20868000
2022-02-25,173.289993,176.220001,170.960007,176.190002,172.792770,13669000
2022-02-28,174.460007,178.199997,174.149994,177.429993,174.008865,16160900
2022-03-01,177.169998,177.710007,173.529999,174.740005,171.370728,13498800
2022-03-02,175.369995,179.190002,174.940002,178.410004,174.969955,10131400
2022-03-03,179.320007,179.630005,173.529999,174.369995,171.007874,11202000
2022-03-04,173.380005,173.800003,169.820007,171.600006,168.291290,10829600
2022-03-07,172.020004,172.410004,163.119995,163.190002,160.043442,16073100
2022-03-08,163.000000,168.720001,161.710007,163.529999,160.376877,25444200
2022-03-09,167.880005,169.750000,167.119995,168.789993,165.535446,15969100
2022-03-10,168.750000,170.539993,167.320007,169.990005,166.712326,12927400
2022-03-11,171.339996,171.820007,166.589996,166.720001,163.505371,12078200
2022-03-14,166.529999,167.869995,162.919998,163.940002,160.778976,15174600
2022-03-15,165.139999,169.910004,164.729996,169.429993,166.163116,13560200
2022-03-16,171.389999,175.210007,169.750000,175.210007,171.831665,16889400
2022-03-17,173.669998,178.179993,173.199997,178.130005,174.695374,13042800
2022-03-18,177.630005,182.100006,176.779999,181.880005,178.373077,15064600
2022-03-21,181.789993,182.889999,178.419998,180.080002,176.879089,12824000
2022-03-22,181.259995,185.149994,181.139999,184.550003,181.269623,8210800
2022-03-23,183.029999,185.350006,181.869995,182.259995,179.020340,7879000
2022-03-24,183.089996,183.889999,181.039993,183.679993,180.415100,7567000
2022-03-25,183.919998,184.300003,181.679993,183.360001,180.100784,8203900
2022-03-28,185.289993,188.300003,185.039993,188.250000,184.903885,11532800
2022-03-29,190.740005,192.190002,189.050003,191.529999,188.125580,9686700
2022-03-30,190.000000,191.000000,187.679993,188.619995,185.267303,8148000
2022-03-31,188.580002,188.580002,184.830002,185.000000,181.711639,8389000
2022-04-01,186.009995,186.470001,184.210007,185.229996,181.937531,4989400
2022-04-04,185.309998,189.449997,184.070007,189.389999,186.023605,7712100
2022-04-05,188.429993,189.399994,184.410004,184.949997,181.662521,8109900
2022-04-06,182.440002,182.440002,178.559998,180.229996,177.026413,13922400
2022-04-07,179.839996,182.130005,177.410004,181.149994,177.930054,11269200
2022-04-08,180.039993,181.639999,178.889999,179.479996,176.289780,9297500
2022-04-11,176.779999,179.539993,175.960007,176.149994,173.018921,9296900
2022-04-12,178.610001,180.470001,175.839996,176.539993,173.402008,11648700
2022-04-13,176.179993,181.240005,176.000000,180.929993,177.713974,8410100
2022-04-14,180.589996,181.589996,178.270004,178.399994,175.228958,8919700
2022-04-18,177.809998,179.970001,177.110001,178.940002,175.759354,7692800
2022-04-19,179.039993,184.389999,178.889999,184.130005,180.857132,8735000
2022-04-20,184.490005,184.979996,181.470001,181.759995,178.529221,6938300
2022-04-21,186.729996,187.880005,179.429993,180.000000,176.800537,11723300
2022-04-22,179.610001,180.279999,175.639999,175.820007,172.694824,11153700
2022-04-25,174.279999,177.240005,173.240005,177.089996,173.942245,12904800
2022-04-26,175.779999,176.050003,168.059998,168.130005,165.141510,14598300
