Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,15174.669922,15298.490234,15166.950195,15216.190430,15216.190430,82685900
2023-03-23,15178.250000,15244.320313,15078.719727,15210.389648,15210.389648,82739800
2023-03-24,15135.500000,15135.650391,14809.820313,14957.230469,14957.230469,181078000
2023-03-27,15133.679688,15185.349609,15020.070313,15127.679688,15127.679688,90911900
2023-03-28,15255.929688,15261.490234,15103.759766,15142.019531,15142.019531,73013800
2023-03-29,15242.519531,15342.269531,15186.750000,15328.780273,15328.780273,81824600
2023-03-30,15429.379883,15536.419922,15424.690430,15522.400391,15522.400391,77412500
2023-03-31,15568.370117,15659.059570,15499.839844,15628.839844,15628.839844,86968700
2023-04-03,15623.450195,15659.349609,15553.900391,15580.919922,15580.919922,70893100
2023-04-04,15639.019531,15736.559570,15601.400391,15603.469727,15603.469727,64484200
2023-04-05,15611.679688,15627.290039,15482.879883,15520.169922,15520.169922,78217100
2023-04-06,15530.200195,15601.490234,15509.089844,15597.889648,15597.889648,62790900
2023-04-11,15710.450195,15726.019531,15625.790039,15655.169922,15655.169922,63070200
2023-04-12,15689.139648,15827.280273,15668.200195,15703.599609,15703.599609,65206700
2023-04-13,15708.209961,15754.990234,15675.150391,15729.459961,15729.459961,53361500
2023-04-14,15789.780273,15841.469727,15760.320313,15807.500000,15807.500000,78563300
2023-04-17,15838.889648,15903.250000,15764.379883,15789.530273,15789.530273,60200000
2023-04-18,15841.500000,15916.280273,15802.750000,15882.669922,15882.669922,63384400
2023-04-19,15850.519531,15908.469727,15829.549805,15895.200195,15895.200195,55122300
2023-04-20,15864.150391,15883.309570,15734.250000,15795.969727,15795.969727,74754500
2023-04-21,15782.580078,15899.620117,15706.830078,15881.660156,15881.660156,77403200
2023-04-24,15852.269531,15919.110352,15831.099609,15863.950195,15863.950195,50552200
2023-04-25,15836.790039,15891.730469,15794.809570,15872.129883,15872.129883,66489300
2023-04-26,15804.500000,15826.019531,15694.360352,15795.730469,15795.730469,74374600
2023-04-27,15739.349609,15859.250000,15706.690430,15800.450195,15800.450195,79622200
2023-04-28,15884.790039,15922.379883,15688.169922,15922.379883,15922.379883,91511200
2023-05-02,15950.360352,16011.559570,15707.549805,15726.940430,15726.940430,80224800
2023-05-03,15774.019531,15868.879883,15745.980469,15815.059570,15815.059570,61988400
2023-05-04,15781.459961,15796.709961,15662.320313,15734.240234,15734.240234,81687600
2023-05-05,15837.440430,15961.540039,15755.969727,15961.019531,15961.019531,69955200
2023-05-08,15967.570313,15996.160156,15933.690430,15952.830078,15952.830078,40927300
2023-05-09,15950.889648,15962.620117,15879.559570,15955.480469,15955.480469,60426400
2023-05-10,15973.379883,15984.820313,15848.690430,15896.230469,15896.230469,67473800
2023-05-11,15943.849609,15970.540039,15754.759766,15834.910156,15834.910156,67890500
2023-05-12,15918.250000,15938.009766,15852.099609,15913.820313,15913.820313,62915400
2023-05-15,15966.959961,15982.099609,15874.240234,15917.240234,15917.240234,53099400
2023-05-16,15892.780273,15968.410156,15862.370117,15897.929688,15897.929688,63874300
2023-05-17,15883.610352,15992.769531,15862.150391,15951.299805,15951.299805,89827900
2023-05-18,16069.419922,16230.440430,16069.419922,16163.360352,16163.360352,73640100
2023-05-19,16233.110352,16331.940430,16203.599609,16275.379883,16275.379883,90102600
2023-05-22,16235.980469,16267.929688,16196.360352,16223.990234,16223.990234,54200300
2023-05-23,16186.440430,16224.320313,16143.980469,16152.860352,16152.860352,56755000
2023-05-24,16008.519531,16013.290039,15802.860352,15842.129883,15842.129883,65922900
2023-05-25,15872.459961,15872.599609,15726.500000,15793.799805,15793.799805,66145400
2023-05-26,15850.089844,16008.589844,15726.740234,15983.969727,15983.969727,57308100
2023-05-29,16064.129883,16079.730469,15925.219727,15952.730469,15952.730469,24247000
2023-05-30,15962.309570,16058.429688,15889.459961,15908.910156,15908.910156,54563500
2023-05-31,15757.429688,15871.700195,15629.120117,15664.019531,15664.019531,172555100
2023-06-01,15744.009766,15863.410156,15734.860352,15853.660156,15853.660156,55198400
2023-06-02,15949.040039,16071.320313,15922.610352,16051.230469,16051.230469,96604000
2023-06-05,16079.860352,16114.839844,15928.440430,15963.889648,15963.889648,63777600
2023-06-06,15939.309570,16009.280273,15925.559570,15992.440430,15992.440430,52413000
2023-06-07,15998.099609,16020.280273,15909.849609,15960.559570,15960.559570,67870200
2023-06-08,15951.610352,16019.000000,15913.950195,15989.959961,15989.959961,59532100
2023-06-09,15993.019531,15998.900391,15924.509766,15949.839844,15949.839844,58242200
2023-06-12,16052.910156,16126.299805,16021.549805,16097.870117,16097.870117,61393600
2023-06-13,16218.200195,16232.700195,16088.469727,16230.679688,16230.679688,72345000
